AirtableID,Request ID,Monday Part Request,Material,Request Status,Part Type,Qty On Order,Qty Completed,Quantity Remaining,Created,Last Modified Time,Daily Update,Daily Update 2,Daily Update 3,Daily Update 4,Remaining Manufacturing Time (Hours),Pricing,Lookup Manufacturing Time (from Pricing),Run Automation,Daily Update copy
Portable Baffles - Baffles - Richlite - Maple - 5248384845,5248384845,Portable Baffles,Richlite - Maple,Open,Baffles,329,327,2,10/1/2023 6:53pm,2/27/2024 9:24pm,,,"403,408,411,510,513,514,515,558,559,561",,0,Baffles,0:10,checked,"411,408,403"
Atrium Open - Baffles - Richlite - 7923531410,7923531410,Atrium Open,Richlite,Open,Baffles,250,149,101,11/25/2024 2:08pm,3/21/2025 4:50pm,,,"1057,1111,1165,1186,1244,1245",,17,Baffles,0:10,,
Bokeh Closed - Cups - Black Limba - 6039420083,6039420083,Bokeh Closed,Black Limba,Open,Cups,80,76,4,2/9/2024 7:06pm,2/27/2024 9:24pm,,,"556,557,560,562",,2,Cups,0:30,,
Salire - Stands - Katalox - 6699086633,6699086633,Salire,Katalox,Open,Stands,60,51,9,5/23/2024 2:06pm,6/11/2024 5:24pm,,,"695,708,722,723",,9,Stands,1:00,,
Bokeh Open - Baffles - Richlite - 8999642299,8999642299,Bokeh Open,Richlite,Open,Baffles,190,50,140,4/24/2025 1:39pm,5/20/2025 2:24pm,,,"1332,1335,1344",,23,Baffles,0:10,,
Bokeh Closed - Cups - Limba - 8999541215,8999541215,Bokeh Closed,Limba,Open,Cups,52,46,6,4/24/2025 1:38pm,5/29/2025 7:12pm,,,"1325,1330,1333,1339,1343,1353,1356,1360",,3,Cups,0:30,,
Atrium Open - Cups - Resin Flake - 7354419184,7354419184,Atrium Open,Resin Flake,Open,Cups,35,32,3,9/3/2024 5:07pm,11/13/2024 5:25pm,,,"941,943,946,950,970,1026,1028,1034",,2,Cups,0:30,,
Atrium Open - Baffles - Richlite - 8999640067,8999640067,Atrium Open,Richlite,Open,Baffles,120,30,90,4/24/2025 1:39pm,5/1/2025 4:14pm,,,1326,,15,Baffles,0:10,,
Bokeh Closed - Baffles - Richlite - 8999641869,8999641869,Bokeh Closed,Richlite,Open,Baffles,160,60,100,4/24/2025 1:39pm,6/4/2025 7:12pm,,,"1320,1365",,17,Baffles,0:10,,
Auteur - Baffles - Richlite - 8122819986,8122819986,Auteur,Richlite,Open,Baffles,30,24,6,12/28/2024 2:06am,1/15/2025 3:50pm,,,1115,,1,Baffles,0:10,,
Bokeh Closed - Cups - charcoal/purple Spectraply - 8332869605,8332869605,Bokeh Closed,charcoal/purple Spectraply,Open,Cups,25,24,1,1/27/2025 12:08pm,2/28/2025 2:50pm,,,"1125,1199",,1,Cups,0:30,,
BOKEH Closed - Cups - Resin Flake - 7354467525,7354467525,BOKEH Closed,Resin Flake,Open,Cups,30,21,9,9/3/2024 5:07pm,4/21/2025 10:40am,,,"974,1014,1015,1259,1305",,5,Cups,0:30,,
Bokeh Open - Cups - Stabilized and/or Resin - 8354305399,8354305399,Bokeh Open,Stabilized and/or Resin,Open,Cups,25,20,5,1/29/2025 2:08pm,4/3/2025 6:35pm,,,"1253,1273",,3,Cups,0:30,,
Auteur Classic - Cups - Maple - 5307659748,5307659748,Auteur Classic,Maple,Open,Cups,20,19,1,10/10/2023 1:52pm,11/29/2023 4:10pm,,,"479,481",,1,Cups,0:30,checked,"481,479"
Aeolus - Baffles - Richlite - 8129061072,8129061072,Aeolus,Richlite,Open,Baffles,20,19,1,12/30/2024 2:07pm,1/15/2025 3:50pm,,,1116,,0,Baffles,0:10,,
Auteur - Cups - Ambrosia Maple - 8122818805,8122818805,Auteur,Ambrosia Maple,Open,Cups,20,18,2,12/28/2024 2:06am,1/17/2025 5:50pm,,,"1117,1119,1120",,1,Cups,0:30,,
Salire - Stands - Sapele - 5286089961,5286089961,Salire,Sapele,Open,Stands,15,14,1,10/5/2023 6:07pm,12/5/2023 5:24pm,,,490,,1,Stands,1:00,checked,
Salire - Stands - Oak - 5450326606,5450326606,Salire,Oak,Open,Stands,15,14,1,11/3/2023 3:02pm,12/5/2023 5:24pm,,,491,,1,Stands,1:00,checked,
Caldera Closed - Cups - Resin Flake - 7354424245,7354424245,Caldera Closed,Resin Flake,Open,Cups,30,13,17,9/3/2024 5:07pm,11/14/2024 6:25pm,,,"966,1031,1036",,9,Cups,0:30,,
Caldera Closed - Cups - Stabilized and/or Resin - 8354292474,8354292474,Caldera Closed,Stabilized and/or Resin,Open,Cups,20,13,7,1/29/2025 2:08pm,3/13/2025 1:07pm,,,1207,,4,Cups,0:30,,
