Update ID,Part Requests,Monday Request ID Lookup,Monday Part Request  (from Part Requests),Part Type (from Part Requests),Material (from Part Requests) 2,Qty Made,Material - Import ,Date Manufactured,Row Total Revenue,Pricing Table Link,Price (from Pricing),Created Time,Run Automations,Entered In Monday,Statistics,Part Type - OLD,Part Type - Text - OLD,Part Import,Material (from Part Requests),Duplicate? Request ID (from Part Requests),Attachments,Monthly Total,Calculation,shippingStatus
1366,Salire Bases - Stands - Richlite Any Color - 7392533361,7392533361,Salire Bases,Stands,Richlite Any Color,8,,6/4/2025,$200.00,Stands,$25.00,6/4/2025 5:47pm,,checked,,Cups,,,Richlite Any Color,Salire Bases - Stands - Richlite Any Color - 7392533361,,, - Stands - ,In Transit
1365,Bokeh Closed - Baffles - Richlite - 8999641869,8999641869,Bokeh Closed,Baffles,Richlite,30,,6/4/2025,$600.00,Baffles,$20.00,6/4/2025 5:47pm,,checked,,Cups,,,Richlite,Bokeh Closed - Baffles - Richlite - 8999641869,,, - Baffles - ,In Transit
1364,Atrium Closed - Cups - Canary - 8999541815,8999541815,Atrium Closed,Cups,Canary,3,,6/4/2025,$120.00,Cups,$40.00,6/4/2025 5:47pm,,checked,,Cups,,,Canary,Atrium Closed - Cups - Canary - 8999541815,,, - Cups - ,In Transit
1363,Atrium Open - Cups - Katalox - 8970262524,8970262524,Atrium Open,Cups,Katalox,2,,6/4/2025,$80.00,Cups,$40.00,6/4/2025 5:46pm,,checked,,Cups,,,Katalox,Atrium Open - Cups - Katalox - 8970262524,,, - Cups - ,In Transit
1362,Atrium Open - Cups - Katalox - 8970262524,8970262524,Atrium Open,Cups,Katalox,2,,5/29/2025,$80.00,Cups,$40.00,5/29/2025 3:20pm,,checked,,Cups,,,Katalox,Atrium Open - Cups - Katalox - 8970262524,,, - Cups - ,In Transit
1361,Auteur - Baffles - Richlite - 9032986195,9032986195,Auteur,Baffles,Richlite,16,,5/29/2025,$320.00,Baffles,$20.00,5/29/2025 3:20pm,,checked,,Cups,,,Richlite,Auteur - Baffles - Richlite - 9032986195,,, - Baffles - ,In Transit
1360,Bokeh Closed - Cups - Limba - 8999541215,8999541215,Bokeh Closed,Cups,Limba,8,,5/29/2025,$320.00,Cups,$40.00,5/29/2025 3:19pm,,checked,,Cups,,,Limba,Bokeh Closed - Cups - Limba - 8999541215,,, - Cups - ,In Transit
1359,Atrium Closed - Cups - Canary - 8999541815,8999541815,Atrium Closed,Cups,Canary,3,,5/29/2025,$120.00,Cups,$40.00,5/29/2025 3:19pm,,checked,,Cups,,,Canary,Atrium Closed - Cups - Canary - 8999541815,,, - Cups - ,In Transit
1358,Atrium Open - Cups - Katalox - 8970262524,8970262524,Atrium Open,Cups,Katalox,4,,5/27/2025,$160.00,Cups,$40.00,5/27/2025 3:56pm,,checked,,Cups,,,Katalox,Atrium Open - Cups - Katalox - 8970262524,,, - Cups - ,In Transit
1357,Auteur - Baffles - Richlite - 9032986195,9032986195,Auteur,Baffles,Richlite,1,,5/27/2025,$20.00,Baffles,$20.00,5/27/2025 12:51pm,,checked,,Cups,,,Richlite,Auteur - Baffles - Richlite - 9032986195,,, - Baffles - ,In Transit
1356,Bokeh Closed - Cups - Limba - 8999541215,8999541215,Bokeh Closed,Cups,Limba,5,,5/27/2025,$200.00,Cups,$40.00,5/27/2025 12:51pm,,checked,,Cups,,,Limba,Bokeh Closed - Cups - Limba - 8999541215,,, - Cups - ,In Transit
1355,Salire Bases - Stands - Richlite Any Color - 7392533361,7392533361,Salire Bases,Stands,Richlite Any Color,2,,5/27/2025,$50.00,Stands,$25.00,5/27/2025 10:30am,,checked,,Cups,,,Richlite Any Color,Salire Bases - Stands - Richlite Any Color - 7392533361,,, - Stands - ,In Transit
1354,Auteur - Baffles - Richlite - 9032986195,9032986195,Auteur,Baffles,Richlite,17,,5/23/2025,$340.00,Baffles,$20.00,5/23/2025 4:57pm,,checked,,Cups,,,Richlite,Auteur - Baffles - Richlite - 9032986195,,, - Baffles - ,In Transit
