Part Name,Part Status,Has Left and Right,partType,Part OD,Part ID,CNC Part 1,CNC Part 2,Work Offset Part 1,Work Offset Part 2,Jaws Part 1,Jaws Part 2,HSM Work Offset Number Part 1,HSM Work Offset Number Part 2,minStockHeight,maxStockHeight,maxStockLengthWidt,minStockLengthWidt copy,X Axis Offset Part 1,Y Axis Offset Part 1,Z Axis Offset Part 1,X Axis Offset Part 2,Y Axis Offset Part 2,Z Axis Offset Part 2,Machining QC,dateLastValidated,partBarcode,masterDrawing,qcDrawing,d1,d1ToleranceMM
Verite Closed Cup Left,One Moment...,"Yes, Both",Cup,110,101,1011,1012,G154 P5,G154 P2,Right OD,Left OD,11,8,1.8,,,,,,,-23.8479,,,,2/19/2025,,,,,
Verite Closed Cup Right,One Moment...,"Yes, Both",Cup,110,102,1021,1022,G154 P5,G154 P2,Right OD,Left OD,11,8,1.8,,,,,,,-23.8479,,,,2/19/2025,,,,,
Verite Open Cup Left,Make it!,"Yes, Both",Cup,108,103,1031,1032,G154 P5,G154 P2,Right OD,Left OD,11,8,1.5,,,,,,,-23.8879,,,,2/19/2025,,,,,
Verite Open Cup Right,Make it!,No Idea,Cup,108,104,1041,1042,G154 P5,G154 P2,Right OD,Left OD,11,8,1.5,,,,,,,-23.8879,,,,2/19/2025,,,,,
Atrium Open Cup Left,Make it!,No Idea,Cup,110,105,1051,1052,G154 P5,G154 P2,Right OD,Left OD,11,8,1.5,,,,,,,-23.8579,,,,2/19/2025,,,,,
Atrium Open Cup Right,Make it!,No Idea,Cup,110,106,1061,1062,G154 P5,G154 P2,Right OD,Left OD,11,8,1.5,,,,,,,-23.8579,,,,2/19/2025,,,,,
Aeolus Cup Left,Make it!,No Idea,Cup,107,107,1071,1072,G154 P5,G154 P2,Right OD,Left OD,11,8,1.5,,,,,,,-23.8579,,,,2/19/2025,,,,,
Aeolus Cup Right,Make it!,No Idea,Cup,107,108,1081,1082,G154 P5,G154 P2,Right OD,Left OD,11,8,1.5,,,,,,,-23.8579,,,,2/19/2025,,,,,
Auteur Classic Cup Left,Make it!,No Idea,Cup,108,109,1091,1092,G154 P5,G154 P2,Right OD,Left OD,11,8,1.5,,,,,,,-23.8679,,,,2/19/2025,,,,,
Auteur Classic Cup Right,Make it!,No Idea,Cup,108,110,1101,1102,G154 P5,G154 P2,Right OD,Left OD,11,8,1.5,,,,,,,-23.8679,,,,2/19/2025,,,,,
Caldera Closed Cup Left,Make it!,No Idea,Cup,109,111,1111,1112,G154 P5,G154 P2,Right OD,Left OD,11,8,2,,,,,,,-23.8579,,,,2/19/2025,,,,,
Caldera Closed Cup Right,One Moment...,No Idea,Cup,109,112,1121,1122,G154 P5,G154 P2,Right OD,Left OD,11,8,2,,,,,,,-23.8579,,,,2/19/2025,,,,,
Atticus Cup Left,Make it!,No Idea,Cup,108,113,1131,1132,G154 P5,G154 P2,Right OD,Left OD,11,8,2.1,,,,,,,-23.8599,,,,2/19/2025,,,,,
Atticus Cup Right,Make it!,No Idea,Cup,108,114,1141,1142,G154 P5,G154 P2,Right OD,Left OD,11,8,2.1,,,,,,,-23.8599,,,,2/19/2025,,,,,
Atrium Closed Cup Left,Make it!,No Idea,Cup,110,115,1151,1152,G154 P5,G154 P2,Right OD,Left OD,11,8,1.8,,,,,,,-23.8579,,,,2/19/2025,,,,,
Atrium Closed Cup Right,Make it!,No Idea,Cup,110,116,1161,1162,G154 P5,G154 P2,Right OD,Left OD,11,8,1.8,,,,,,,-23.8579,,,,2/19/2025,,,,,
Bokeh Closed Cup Left,Make it!,No Idea,Cup,,117,1171,1172,G154 P5,G154 P2,Right OD,Left OD,11,8,1.5,,,,,,,-23.8979,,,,2/19/2025,,,,,
Bokeh Open Baffle Left (DELETE?,One Moment...,"Yes, Both",Cup,,118,2181,2182,G154 P6,G154 P2,Right OD With Probe,Left OD,12,8,1,,,,,,,-23.8979,,,1,2/19/2025,,,,,
Bokeh Open Cup Right,One Moment...,"Yes, Both",Cup,,119,1191,1192,,,,,,,1.5,,,,,,,-23.8979,,,,2/19/2025,,,,,
Bokeh Open Cup Left,One Moment...,"Yes, Both",Cup,,120,1201,1202,,,,,,,1.5,,,,,,,-23.8979,,,,2/19/2025,,,,,
Verite Closed Baffle Left,Make it!,"No, Same",Baffle,107,201,2011,2012,G154 P5,Not Sure,Right OD,Left ID,11,,1,,,,,,,-23.8879,,,,2/19/2025,,,,,
Verite Closed Baffle Right,Make it!,"No, Same",Baffle,107,202,2021,2022,G154 P5,Not Sure,Right OD,Left ID,11,,1,,,,,,,-23.8879,,,,2/19/2025,,,,,
Verite Open Baffle Left,Make it!,No Idea,Baffle,107,203,2031,2032,G154 P5,Not Sure,Right OD,Left ID,11,,1,,,,,,,-23.8879,,,,2/19/2025,,,,,
Verite Open Baffle Right,Make it!,No Idea,Baffle,107,204,2041,2042,G154 P5,Not Sure,Right OD,Left ID,11,,1,,,,,,,-23.8879,,,,2/19/2025,,,,,
Atrium Open Baffle Left,Make it!,No Idea,Baffle,107,205,2051,2052,G154 P5,Not Sure,Right OD,Left ID,11,,1,,,,,,,-23.8879,,,,2/19/2025,,,,,
