ID,Wood Species,Wood Form,Qty,Size,Location,Thickness,Robot Ready,Barcode,Wood Quality,Image,Image (from Image),Created,Last Modified
78,,,,Medium,,Really Thick,,,Normal,,,10/17/2024 1:04pm,10/17/2024 1:04pm
85,Acrylic Flake,Block,48,Block,Chris Area,8/4,,,10 Heart Wood ,,,10/17/2024 1:09pm,10/17/2024 1:09pm
30,African Blackwood,Block,1,Crate/Bin (About 10 Sets),Chris Area,Really Thick,,,Normal,,,1/8/2024 2:12pm,1/8/2024 2:12pm
21,Ash,Slab,25,Large,"Dock 2,Dock 1",8/4,,,Normal,,,1/8/2024 2:06pm,5/6/2024 2:22pm
57,Assorted Burls,Block,7,Crate/Bin (About 10 Sets),Chris Area,Really Thick,,,It's Burl...,,,1/18/2024 10:37pm,1/18/2024 10:37pm
40,Assorted Burls,Block,7,Crate/Bin (About 10 Sets),Chris Area,Really Thick,,,It's Burl...,,,1/8/2024 3:37pm,1/8/2024 3:37pm
60,Australian Blackwood,Slab,30,Small,Dock 2,8/4,,,Normal,,,4/23/2024 1:17pm,3/13/2025 11:19am
36,B&W Ebony,Block,0,Crate/Bin (About 10 Sets),Chris Area,Really Thick,,,Normal,,,1/8/2024 2:15pm,9/23/2024 12:45pm
35,B&W Ebony,Board,20,Small,Chris Area,Really Thick,,,Normal,,,1/8/2024 2:14pm,1/15/2025 11:37am
47,Birch,Board,5,Large,Biesse Shelf,4/4,,,Normal,,,1/8/2024 4:03pm,1/8/2024 4:03pm
62,Black Limba,Board,50,Small,Dock 2,8/4,,,Normal,,,4/23/2024 1:19pm,3/13/2025 11:25am
29,Black Limba,Block,5,Crate/Bin (About 10 Sets),Chris Area,6/4,,,Normal,,,1/8/2024 2:12pm,1/8/2024 2:12pm
26,Bocote,Block,1,Crate/Bin (About 10 Sets),Chris Area,6/4,,,Normal,,,1/8/2024 2:10pm,1/8/2024 2:10pm
43,Butternut,Board,1,Medium,Biesse Shelf,8/4,,,Normal,,,1/8/2024 3:57pm,1/8/2024 3:57pm
32,Camphor Burl,Slab,2,Small,Chris Area,Really Thick,,,Normal,,,1/8/2024 2:13pm,1/8/2024 2:13pm
39,Canare,Block,1,Crate/Bin (About 10 Sets),Chris Area,8/4,,,Normal,,,1/8/2024 3:36pm,1/8/2024 3:36pm
38,Canare,Board,150,Small,Biesse Shelf,8/4,,,Normal,,,1/8/2024 3:36pm,10/17/2024 1:01pm
73,Cherry,Board,2,Large,Garage,8/4,,,10 Heart Wood ,,,6/25/2024 10:49am,6/25/2024 10:49am
58,Cherry,Board,22,Medium,Dock 2,8/4,,,Normal,,,4/23/2024 1:16pm,8/14/2024 3:13pm
19,Cocobolo,Board,20,Medium,Chris Area,8/4,,,Normal,,,1/8/2024 1:45pm,1/15/2025 11:38am
55,Earpod,Board,48,Small,Chris Area,8/4,,,Normal,,,1/10/2024 4:50pm,1/10/2024 4:50pm
76,Katalox,Block,294,Block,Garage,Really Thick,,,Normal,,,6/25/2024 10:53am,6/25/2024 10:53am
59,Katalox,Board,0,Small,Dock 2,4/4,,,Normal,,,4/23/2024 1:17pm,8/14/2024 3:57pm
56,Koa,Block,1,Crate/Bin (About 10 Sets),Chris Area,8/4,,,Normal,,,1/15/2024 10:43am,1/15/2024 10:43am
